Company category,Company name,CEO,Corporate registration number,Business registration number,Address,Contact point,Latitude,Longitude
육류 가공식품 도매업,(주)쉐프스 푸드,김남경 정보 더보기,131111-0125772,129-81-77565,서울특별시 성동구 성수이로 65,02-529-4134,37.54,127.06
육류 가공식품 도매업,(주)신성푸드,김선철,191411-0008102,611-81-17936,경상남도 거창군 위천면 당산농공길 40,055-943-5289,35.75,127.86
육류 가공식품 도매업,주식회사 씨앤피물류,김현수,284411-0091460,474-81-00554,경기도 포천시 해룡로 35,1899-6413,37.86,127.14
육류 가공식품 도매업,(주)아이더스에프앤비 정보 더보기,장성식,110111-5896505,112-88-00179,서울특별시 강서구 강서로 404,02-323-9001,37.55,126.84
육류 가공식품 도매업,주식회사 에스엔비,손병화,131411-0441429,664-87-01328,경기도 안산시 상록구 광덕산2,010-3020-4591,37.34,126.84
육류 가공식품 도매업,(주)에쓰프레시,조성수,110111-7067104,364-87-01321,서울특별시 강남구 남부순환로 2729,02-2140-9028,37.49,127.04
육류 가공식품 도매업,주식회사 올에프엔비 정보 더보기,방경석,110111-4873679,114-87-01309,서울특별시 용산구 한강대로 14,1522-4969,37.54,126.97
육류 가공식품 도매업,(주)이원식품,안지균,161211-0019191,307-81-27160,충청북도 음성군 대소면 오류리 797,02-501-0127,36.98,127.47
육류 가공식품 도매업,주식회사인천대림,최종철,120111-0719031,121-86-35358,인천광역시 서구 원석로 150,032-861-9500,37.51,126.64
육류 가공식품 도매업,주식회사 제이에스엠씨,"김태섭, 박규형, 유창호",135711-0086762,126-86-47636,경기도 하남시 서하남로 450,031-795-0000,37.52,127.19
육류 가공식품 도매업,주 왓슨교역,김 헨리영,110111-1369001,215-81-60633,서울특별시 강남구 대치동 910,02-3453-5651,37.5,127.05
육류 가공식품 도매업,주식회사 지피에프씨,우광식,160111-0421406,830-87-00299,대전광역시 대덕구 비래서로 10,042-628-1994,36.35,127.45
육류 가공식품 도매업,(주)참조은에스에프,임경숙,121111-0205336,130-86-53030,경기도 부천시 오정구 소사로 862,032-677-5845,37.53,126.78
육류 가공식품 도매업,주식회사 코주부비앤에프,이춘복,151111-0036321,303-81-56659,경기도 하남시 감이남로 74,24080100,37.5,127.16
육류 가공식품 도매업,큐엔씨육가공,유임묵,131411-0289879,134-87-03975,경기도 안산시 단원구 광덕2,314391425,37.33,126.8
육류 가공식품 도매업,타이슨푸드코리아 유한회사,이철기,110114-0253168,819-88-01449,충청남도 천안시 동남구 통정5,415927145,36.78,127.13
육류 가공식품 도매업,(주)티비비씨,이원성,135811-0086421,124-86-01463,경기도 화성시 매송면 매송고색로 395,031-245-8877,37.24,126.94
육류 가공식품 도매업,주식회사 티지와이,김재곤,151111-0057195,365-88-00341,충청남도 예산군 오가면 원천길 27,02-357-2525,36.7,126.79
육류 가공식품 도매업,(주)판코상사,이동은,110111-1886758,107-81-77906,서울특별시 영등포구 경인로 775,02-3439-1234,37.51,126.9
육류 가공식품 도매업,주식회사 피엠씨에이피,서재교,110111-1650335,215-81-75271,서울특별시 강남구 역삼동 834,02-556-3011,37.49,127.03
육류 가공식품 도매업,주식회사 하이포크,이영건,110111-5063419,206-86-77926,서울특별시 성동구 고산자로 26,070-4688-2505,37.56,127.04
육류 가공식품 도매업,(주)혜인식품 정보 더보기,현광식 정보 더보기,280111-0073195,127-81-96998,서울특별시 도봉구 노해로 391,02-6919-3003,37.65,127.05
육류 가공식품 도매업,(주)휴먼푸드,김종철,134511-0075223,135-81-66291,경기도 수원시 권선구 경수대로 93,031-281-6085,37.24,127.02
육류 도매업,주식회사 가나축산물유통,정성교,171711-0108687,506-81-86295,경상북도 포항시 북구 용당로 24,054-274-4253,36.03,129.36
육류 도매업,(주)가람유통,김승욱,134511-0216554,142-81-62992,경기도 용인시 기흥구 신구로 54,312747894,37.28,127.11
육류 도매업,(주)가온에프엔비,김병석,110111-5390466,215-87-90615,서울특별시 송파구 동남로 128,02-473-4720,37.49,127.13
육류 도매업,주식회사 강남프라임,나상현,110111-3835042,206-86-22606,서울특별시 강남구 삼성로 535,02-3444-6888,37.51,127.05
육류 도매업,(주)견우마을,최낙명,110111-2699671,108-81-58974,서울특별시 강동구 성내동 549,02-479-2222,37.53,127.12
육류 도매업,(주)견우푸드,최낙명,134211-0070360,126-81-85824,경기도 광주시 곤지암읍 곤지암천로 149,02-479-2222,37.36,127.33
육류 도매업,주식회사 고기랑 농업회사법인,이상,160111-0263577,305-86-00078,대전광역시 중구 성산로 11 으뜸원포크,042-535-8852,36.29,127.38
육류 도매업,고기연구소(주),전의선,110111-6386315,538-86-00697,서울특별시 성동구 고산자로 335,02-2292-1700,37.57,127.04
육류 도매업,교촌에프앤비(주) rss,송종화 정보 더보기,175211-0009005,513-81-16574,경상북도 칠곡군 가산면 송신로 78,031-371-3500,36.09,128.53
육류 도매업,국제식품주식회사,김환영,110111-1508138,206-81-12326,인천광역시 서구 백범로 630,032-573-8181,37.48,126.67
육류 도매업,(주)굿모닝푸드,정진관,135111-0081293,123-86-06596,경기도 하남시 샘재로 76 굿모닝푸드,031-793-6676,37.53,127.21
육류 도매업,주식회사 글로벌미트컴퍼니,김연포,110111-4736968,206-86-60027,서울특별시 성동구 마장로 31,02-2299-9200,37.57,127.03
육류 도매업,(주)금대유통,최회신,110111-3745960,119-86-01495,서울특별시 금천구 범안로 15,02-894-9575,37.47,126.89
육류 도매업,(주)나진코퍼레이션,이수영 정보 더보기,134511-0023214,135-81-23195,서울특별시 용산구 청파로 109,02-703-2537,37.53,126.96
육류 도매업,(주)남상푸드,최중원,180111-0882654,605-86-23990,부산광역시 사상구 사상로 561,051-714-5300,35.19,128.99
육류 도매업,(주)네이쳐스푸드,정문석,110111-5879634,345-87-00262,경기도 광주시 광남안로 129,031-765-8221,37.39,127.21
육류 도매업,농업회사법인(주)글로미트 정보 더보기,신임호,110111-3445825,206-86-07298,서울특별시 성동구 무학로 14,02-3395-7801,37.57,127.03
육류 도매업,농업회사법인 금천(주),조흥연,134111-0095336,123-81-77174,경기도 안양시 만안구 박달동 683,314452584,37.41,126.89
육류 도매업,농업회사법인 내쇼날푸드 주식회사,권기현,110111-1722514,206-81-16225,경기도 하남시 하남대로 947 D동 305,222950900,37.55,127.19
육류 도매업,농업회사법인 다하누 주식회사,최계경,141411-0005059,225-81-16376,강원도 영월군 주천면 주천시장길 22 1232,033-372-2256,37.27,128.27
육류 도매업,농업회사법인 대성웰그로주식회사,김영숙,151111-0037486,303-81-58185,경기도 성남시 수정구 위례서일로 26 804,031-751-3400,37.46,127.14
육류 도매업,농업회사법인 주식회사 선봉프라임,김종철,131111-0255777,129-86-46484,경기도 성남시 수정구 수정남로 120,031-732-5800,37.44,127.14
육류 도매업,농업회사법인(주)순우리 정보 더보기,이조영 정보 더보기,110111-2322058,212-81-53870,경기도 용인시 처인구 이동읍 덕성산단2,317266400,37.18,127.23
육류 도매업,농업회사법인영식품주식회사,최시영,161211-0032680,307-81-47278,대전광역시 서구 우명길 33,042-581-2144,36.22,127.29
육류 도매업,농업회사법인 주식회사 우리한우,김범수,134211-0172182,512-88-00215,경기도 광주시 곤지암읍 경충대로 498,317686394,37.34,127.36
육류 도매업,농업회사법인 주식회사 원미트푸드,장정호,110111-5979434,405-81-11128,경기도 구리시 인창2,02-1661-5474,37.62,127.14
육류 도매업,(주)다커머스에프앤씨,오강석,110111-3816422,206-86-22455,서울특별시 성동구 도선동 신한넥스텔,070-4348-2025,37.56,127.04
육류 도매업,주식회사 대명미트,박정현,110111-1937311,206-81-25383,서울특별시 성동구 마장동 500 - 6,02-2294-9771,37.57,127.04
육류 도매업,"대상네트웍스 주식회사 (DAESANG Networks Co., Ltd.) 정보 더보기",최성수,110111-2888282,113-81-87618,서울특별시 성동구 청계천로 12,02-2297-8886,37.57,127.03
육류 도매업,(주)대웅엠엔에프,손병두,180111-0350437,606-81-65741,경상남도 김해시 삼방동 104,055-345-5970,35.24,128.91
육류 도매업,(주)대원벨리,김정훈,180111-0799049,606-86-36256,부산광역시 사상구 낙동대로 1530,518173450,35.19,128.99
육류 도매업,(유)대인계육유통,"현철호, 현광식",280214-0000687,127-86-14235,경기도 양주시 백석읍 중앙로 164,031-879-9072,37.79,126.99
육류 도매업,(주) 대전맥시칸,유정헌,160111-0039465,306-81-19726,충청북도 청원군 현도면매봉리 148,043-260-6820,36.48,127.43
육류 도매업,주식회사 더그린하우스,이기배 정보 더보기,220111-0055905,616-81-55861,전라남도 담양군 담양읍 월광로 43,7043703064,35.33,126.98
육류 도매업,(주)더맛있는하루,박진호,131111-0122869,129-81-77380,경기도 용인시 처인구 중부대로 1576,031-243-3588,37.27,127.11
육류 도매업,(주) 더베스트미트,박선희,110111-7719557,442-87-01994,경기도 용인시 기흥구 농서로 51,222815595,37.22,127.09
육류 도매업,덕정무역(주),최덕순,110111-1278517,214-86-07324,서울특별시 서초구 서초동 1536,02-598-4030,37.49,127.01
육류 도매업,주식회사 도드람에프씨,김운경,134611-0056867,125-86-04653,경기도 안성시 일죽면 일생로 185,02-2138-5323,37.07,127.49
육류 도매업,(주)동북푸드,방준호,110111-5815670,634-86-00165,경기도 화성시 정남면 발산5,28629993,37.16,126.99
육류 도매업,주식회사 동아푸드,김영욱,110111-2558835,211-87-16893,서울특별시 영등포구 63,02-514-3177,37.52,126.91
육류 도매업,(주)동암비티,최준식,220111-0039800,616-81-41668,서울특별시 광진구 구의동 546,3424-2500,37.54,127.09
육류 도매업,주식회사 드림푸드,"안영숙, 박원영",135511-0258901,140-81-82051,경기도 시흥시 월곶중앙로 14,031-312-2820,37.39,126.74
육류 도매업,디에이치통상 주식회사,한대중,284211-0064651,132-86-09807,경기도 하남시 서하남로 43,02-477-2980,37.52,127.15
육류 도매업,또봉이에프앤에스(주),최종성,134511-0255594,816-81-00059,경기도 용인시 기흥구 죽전로 11,031-242-6877,37.32,127.11
육류 도매업,주식회사 라온축산유통,문우철,110111-3403906,206-86-06284,서울특별시 성동구 마장동 470,02-2291-9494,37.57,127.04
육류 도매업,(주)레인보우미트,김성수,110111-4400018,120-87-57598,경기도 용인시 기흥구 구성로 78,031-282-0379,37.29,127.14
육류 도매업,(주)렉스팜 정보 더보기,"박성우, 이인성 정보 더보기",110111-1732886,206-81-16337,경기도 안성시 일죽면 금산리 596,031-671-9888,37.07,127.49
육류 도매업,마포미트(주),정환삼,110111-2956807,206-81-88734,서울특별시 성동구 마장동 818 현대아파트상가,02-2295-7795,37.57,127.04
육류 도매업,(주)맥시칸산업,김한,180111-0294750,606-81-23396,부산광역시 강서구 대저1,051-304-6000,35.22,128.98
육류 도매업,(주)멕시카나,최광은,174711-0011001,505-81-26523,서울특별시 송파구 송파동 185,02-420-9995,37.5,127.12
육류 도매업,(주)멘토미트,김병례,110111-3500108,206-86-09466,서울특별시 성동구 고산자로 284,02-2292-3331,37.56,127.04
육류 도매업,주식회사 모닝에프앤씨,임화영,110111-7283271,806-88-01628,서울특별시 성동구 마장로 42,1041716380,37.57,127.03
육류 도매업,(주)모아에프앤비,조철유,110111-6004363,781-88-00301,서울특별시 강동구 양재대로 98,02-6423-3710,37.54,127.14
육류 도매업,주식회사 미스터해우,차대주,121111-0164889,130-86-31114,경기도 부천시 옥산로 7 A동,032-614-2315,37.5,126.78
육류 도매업,주식회사 미트라인,이기웅,135011-0118436,134-81-74954,경기도 안산시 상록구 양지편2,031-409-1941,37.36,126.79
육류 도매업,주식회사 미트랑,이유경,120111-0723644,135-86-50606,경기도 용인시 기흥구 신정로 151,7088238883,37.29,127.1
육류 도매업,주식회사 미트스파클,이춘화,110111-7401170,662-86-01626,"서울특별시 성동구 마장로 273 , 상가동",070-7599-2826,37.57,127.04
육류 도매업,미트엠트레이딩(주),한광복,134511-0062973,135-81-56075,경기도 용인시 기흥구 고매동 548,031-282-2177,37.23,127.1
육류 도매업,(주)미트올,박순광,110111-4625939,206-86-54879,서울특별시 성동구 청계천로 10,02-2297-8662,37.57,127.03
육류 도매업,주식회사 미트웨이브,유지원,110111-2429333,215-86-20223,서울특별시 성동구 청계천로 10,02-421-5885,37.57,127.03
육류 도매업,주식회사 미트이노베이션,이용진,110111-6774304,278-81-01085,"경기도 용인시 기흥구 공세로 16 ,",031-281-1220,37.23,127.1
육류 도매업,주식회사미트카운티,이수환,110111-3932319,206-86-26674,서울특별시 성동구 고산자로 253,222826881,37.56,127.04
육류 도매업,미트패밀리(주),김민호 정보 더보기,110111-3260158,119-81-82042,경기도 광명시 밤일안로 14,02-866-4791,37.45,126.86
육류 도매업,(주)미트플러스,김정훈,180111-0809062,606-86-37804,부산광역시 부산진구 동평로 405,7074341825,35.17,129.05
육류 도매업,(주)바나바에프앤비,신연수,284111-0235593,206-88-01584,서울특별시 강남구 봉은사로 632,25639592,37.51,127.06
육류 도매업,백두대간영농조합법인,김도영,145071-0001443,226-81-32535,강원도 강릉시 정원로 54,033-644-4467,37.76,128.88
육류 도매업,(주)베스트미트,박성원,110111-2044529,206-81-28814,서울특별시 성동구 마장로 33,02-2281-1181,37.57,127.03
육류 도매업,(주)보보스미트트레이딩,김영태,110111-2934811,206-81-87792,서울특별시 성동구 마장로 33,02-2291-4791,37.57,127.03
육류 도매업,주식회사 보성패션 정보 더보기,임동신,180111-0089648,604-81-11666,부산광역시 부산진구 범천1,051-643-2411,35.14,129.06
육류 도매업,부강에프에스 주식회사,홍기훈,134511-0211025,142-81-59518,경기도 용인시 기흥구 동탄기흥로 776,010-3265-1213,37.23,127.1
육류 도매업,주식회사 부민축산,"고인성, 김성태",180111-0978544,672-86-00115,부산광역시 사상구 사상로 565,051-992-0407,35.17,128.99
육류 도매업,(주)블랙쎄븐,이상수,134511-0140448,142-81-21012,경기도 용인시 기흥구 기흥단지로 136,031-275-3035,37.22,127.12
육류 도매업,(주)비앤피아이앤씨,조학철,110111-4537241,220-88-13126,서울특별시 강남구 역삼동 837,02-553-6130,37.49,127.03
육류 도매업,(주)비에프인터내셔날,김태형,110111-3109645,120-86-74076,경기도 성남시 수정구 신촌로 37,02-412-2582,37.46,127.1
육류 도매업,주식회사 삼성굿미트,김감,110111-8109187,318-87-02763,서울특별시 금천구 범안로 1212 지하층 B29,7088318511,37.47,126.9
육류 도매업,주식회사 서던퍼시픽,김중인,180111-0221670,605-81-26560,부산광역시 부산진구 부전동 474,051-817-3727,35.16,129.06
육류 도매업,(주)선영축산농업회사법인,김현애,180111-0389890,606-81-71942,부산광역시 사상구 모라로 39 선영축산농업회사법인,051-302-7771,35.19,128.99
육류 도매업,(주)선우프레시 정보 더보기,조제효 정보 더보기,131111-0298834,129-86-70043,경기도 성남시 분당구 미금일로 90,15775259,37.35,127.11
육류 도매업,주식회사 선화기업,김기봉,110111-4378968,206-86-45031,서울특별시 성동구 고산자로 302,02-2298-4503,37.57,127.04
육류 도매업,성림미트앤푸드(주),이덕제,110111-1304528,106-81-62002,서울특별시 용산구 주성동 39,02-790-5319,37.52,127
육류 도매업,(주)성우무역,박우영,110111-4954809,264-81-02810,서울특별시 서초구 강남대로 433,02-533-5640,37.5,127.03
육류 도매업,수월한 주식회사,임상훈,170111-0496697,502-86-25326,경상북도 문경시 신기산단2,539648166,36.69,128.13
육류 도매업,(주)시티유통,노호준,134511-0073516,135-81-65012,경기도 용인시 구성읍상하리 351,031-282-0348,37.26,127.14
육류 도매업,신돈축산유통,윤경자,131411-0415789,136-87-01293,경기도 안산시 단원구 만해로 169,031-432-9241,37.32,126.76
육류 도매업,신성유통주식회사,정웅연,130111-0066472,124-81-80013,경기도 수원시 권선구 권선동 1025,031-235-5212,37.26,127.03
육류 도매업,주식회사 심우식품,"한운행, 한문갑",194211-0025058,622-81-21556,경상남도 김해시 분성로 172,051-301-9394,35.23,128.89
육류 도매업,(주)쎄븐푸드,이상수,134511-0097673,135-81-84023,경기도 용인시 기흥구 동탄기흥로 748,031-285-0530,37.23,127.1
육류 도매업,주식회사 씨앤케이무역,최흥진,120111-0802737,339-81-00324,인천광역시 서구 소담1,032-710-2065,37.55,126.68
육류 도매업,주식회사 아담미트,한정호,110111-8517231,748-86-03160,서울특별시 영등포구 신길로 42,02-588-8520,37.5,126.91
육류 도매업,주식회사 아랑미트,오태진,131411-0399074,526-88-00820,경기도 안산시 상록구 각골동로 18 아랑미트),031-416-9675,37.29,126.88
육류 도매업,주식회사 아이델리 정보 더보기,문병창,110111-1106932,107-81-55222,서울특별시 영등포구 영등포동 7,(02) 2678 - 7511,37.52,126.91
육류 도매업,주식회사 아이에프티부산,김성은,180111-1414167,323-81-02424,부산광역시 강서구 공항로 1309,051-941-8985,35.18,128.97
육류 도매업,(주)아이푸드트레이딩,전종민,131111-0311991,144-81-01647,경기도 화성시 효행로 1374,318897750,37.22,127.02
육류 도매업,(주)애그미트,진용구,110111-1602253,229-81-34420,경기도 성남시 분당구 대왕판교로 279,031-717-1166,37.37,127.1
육류 도매업,에스더블유컴퍼니 주식회사,오희재,110111-4215706,119-86-22786,서울특별시 금천구 남부순환로 112,02-868-4791,37.48,126.94
육류 도매업,(주)에이스푸드림,강경성,110111-5112703,119-86-70876,경기도 시흥시 금오로 190,031-503-2500,37.43,126.84
육류 도매업,(주)에이젯시스템,이광석 정보 더보기,110111-3426643,201-81-96582,서울특별시 금천구 범안로 21,02-2081-5297,37.47,126.89
육류 도매업,주식회사 에이젯푸드,최중원,180111-0285907,603-81-38167,부산광역시 북구 사상로 583,051)303-4464,35.2,128.99
육류 도매업,에이치비앤피 주식회사,황석하,110111-6286755,588-86-00601,서울특별시 성동구 마장로 260 103,02-2297-1225,37.57,127.04
육류 도매업,주식회사 에프엔프레시,최석문,110111-6416443,264-87-00717,서울특별시 마포구 월드컵북로 396,02-3152-8088,37.58,126.89
육류 도매업,주식회사 엔디(ND),최세현,131111-0695204,642-86-02790,"경기도 성남시 수정구 위례서일로 30 ,",010-2208-0360,37.46,127.14
육류 도매업,주식회사 엔디에프(NDF),김경덕,134511-0644747,588-81-03205,"경기도 용인시 기흥구 원고매로 29 ,",031-994-0003,37.22,127.11
육류 도매업,(주)엔에스에프서울,최세현,131111-0544378,711-81-01336,경기도 성남시 수정구 위례광장로 21,031-778-8977,37.47,127.14
육류 도매업,(주)엔에이치프라임미트,김동국,110111-4065838,120-87-37933,서울특별시 강남구 선릉로 616 드림타운1,02-554-6062,37.51,127.04
육류 도매업,주식회사 엠에스에프,한윤자,110111-5030236,206-86-73288,서울특별시 성동구 고산자로 24,02-2281-6124,37.56,127.04
육류 도매업,오케이미트(주),홍승수,110111-1991979,211-86-99989,서울특별시 강남구 강남대로 58,02-3443-0053,37.51,127.03
육류 도매업,와가무역주식회사,유창우,110111-3422493,211-87-79447,서울특별시 강남구 강남대로 58,02-540-6588,37.51,127.03
육류 도매업,주식회사 와이엠케이에프앤비,김민정,175411-0013630,511-81-24312,서울특별시 영등포구 국회대로 786,02-786-7700,37.53,126.92
육류 도매업,(주)우리디벨롭,최영숙,180111-0292407,618-81-25252,부산광역시 부산진구 서면문화로 32,051)804-3494,35.16,129.06
육류 도매업,주식회사 우성물류 정보 더보기,김윤권 정보 더보기,110111-0051857,206-81-46302,서울특별시 서초구 서초4,(02)3482-3701,37.47,127.03
육류 도매업,우진미트유한회사,김홍수,131114-0010448,539-81-01388,경기도 성남시 분당구 정자일로 1 C동,317284486,37.35,127.11
육류 도매업,주식회사 위드유컴퍼니,최용석,110111-5675537,258-87-00065,서울특별시 성동구 청계천로 10,070-4105-8501,37.57,127.03
육류 도매업,주식회사 유토인터내셔날,김학진,110111-4194637,211-88-33870,경기도 광주시 초월읍 경충대로 1127,234441193,37.38,127.3
육류 도매업,(주)육대장,"이진수, 최형욱",120111-0645872,121-86-23226,서울특별시 마포구 양화로 164,02-334-4570,37.56,126.92
육류 도매업,은복프라임미트(주),남명철,200111-0154884,409-81-68434,광주광역시 북구 저불로 39,062)5286600,35.18,126.9
육류 도매업,(주)장나라미트,남필현,110111-4250950,211-88-38138,서울특별시 강남구 봉은사로 129 412,02-515-6441,37.51,127.03
육류 도매업,주식회사 장스푸드,장조웅,110111-5713056,785-81-00037,서울특별시 서초구 매헌로 40 장스푸드60,02-6213-0192,37.46,127.03
육류 도매업,(주)정성과친절,김복래,110111-3132224,206-81-95477,서울특별시 성동구 무학로 14,02-2299-9915,37.57,127.03
육류 도매업,주식회사 정성미트앤푸드,곽영임,110111-7109245,557-81-01523,서울특별시 성동구 마조로 16,070-7599-2825,37.56,127.04
육류 도매업,정원프로비전스주식회사,서승찬,134211-0157001,233-81-06694,서울특별시 성동구 고산자로 284 일부,02-2282-0912,37.56,127.04
육류 도매업,주식회사 제니스미트,김봉중,134211-0106602,126-86-25817,경기도 광주시 초월읍 동막골길 23,031-762-9111,37.38,127.32
육류 도매업,주식회사 제니스유통 정보 더보기,이광석,134911-0005735,119-81-18711,경기도 광주 초월 선동 251,031-762-9111,37.58,127.18
육류 도매업,(주)제이케이미트코퍼레이션,장봉근,110111-5010593,206-86-72085,서울특별시 광진구 아차산로 78,02-452-2325,37.55,127.11
육류 도매업,주식회사 제프바이오,윤상호,110111-3424994,119-81-88328,경기도 파주시 광탄면 마장리 78,064-725-8700,37.77,126.88
육류 도매업,(주)착한고기,김재욱,134811-0177966,124-86-83261,경기도 화성시 팔탄면 구장리 515,031-8059-2464,37.16,126.9
육류 도매업,(주)청송축산유통,안정수,110111-1722928,206-81-16244,서울특별시 성동구 고산자로 22,02-2299-2438,37.56,127.04
육류 도매업,주식회사 초록뱀푸드팜 정보 더보기,김세연,110111-5590975,120-88-22738,서울특별시 영등포구 여의대로 24,02-566-2055,37.52,126.92
육류 도매업,주식회사 초이무역,석용징,110111-6524840,230-81-11465,경기도 용인시 처인구 모현읍 파담로 149,24882308,37.32,127.24
육류 도매업,(주)총체보리한우유통사업단,박삼수,214811-0010599,403-81-44303,경기도 시흥시 방산동 128,031-313-6684,37.43,126.78
육류 도매업,주식회사 캐틀팜,김성식,110111-4300341,206-86-41485,서울특별시 서초구 바우뫼로 130,02-2294-9292,37.48,127.04
육류 도매업,(주)컨슈머패키지커머스,김우영,110111-6606341,883-88-01019,서울특별시 중구 통일로 86,02-318-3470,37.56,126.97
육류 도매업,주식회사 케이미트광주,오중석,200111-0284061,410-86-32998,광주광역시 광산구 비아로 135,062-973-8031,35.22,126.82
육류 도매업,주식회사 케이미트선왕,최보근,110111-4149989,108-81-88992,서울특별시 동작구 노들로 2,02-2102-4552,37.52,126.94
육류 도매업,주식회사 케이미트에프앤비,이헌기,134211-0234528,180-81-01930,경기도 광주시 과수원길 27,1052838760,37.41,127.25
육류 도매업,(주)케이엠에스이엔씨,이풍우,110111-2309585,212-81-53695,서울특별시 강남구 삼성동 143,02-564-7197,37.51,127.05
육류 도매업,주식회사 케이엠에스패밀리,문말수,110111-6528553,518-88-00789,서울특별시 강남구 봉은사로 68,02-2295-6078,37.51,127.05
육류 도매업,케이와이푸드 주식회사,오상택 정보 더보기,110111-3671751,215-87-02519,서울특별시 송파구 송파대로 34,02-3433-1871,37.5,127.11
육류 도매업,주식회사 케이원통상,김장수,120111-1082734,576-87-01619,인천광역시 연수구 컨벤시아대로 42,032-584-8511,37.39,126.65
육류 도매업,(주)케이티미트,김현철,110111-4868448,206-86-66021,서울특별시 성동구 고산자로 302,070-7538-8443,37.57,127.04
육류 도매업,(주)케이티에이치아시아,김태희,110111-4519728,215-87-50215,서울특별시 송파구 새말로 5,02-400-0033,37.48,127.13
육류 도매업,주식회사 케이팩토리,이상훈,134511-0489226,326-86-02108,경기도 용인시 기흥구 동탄기흥로 776,031-281-7271,37.23,127.1
육류 도매업,(주)코리아푸드,백현,134511-0172615,142-81-38153,경기도 용인시 기흥구 공세로 126,031-284-3733,37.23,127.11
육류 도매업,탑앤탑미트(주),김준형,160111-0311988,305-86-15057,대전광역시 대덕구 대전로 1158,042-637-2058,36.36,127.42
육류 도매업,(주)태우그린푸드,조규근,110111-3361170,206-86-04480,서울특별시 성동구 마장동 470,02-2296-6761,37.57,127.04
육류 도매업,(주)태원트레이드,김연포,110111-3676529,206-86-16138,서울특별시 성동구 마장동 517,02-2291-3929,37.57,127.04
육류 도매업,(주)태진인터내셔날,박선홍,110111-4381565,206-86-46710,서울특별시 성동구 마장동 517,02-2299-3929,37.57,127.04
육류 도매업,주식회사 테드스토리,김윤태,110111-5163300,113-86-72731,서울특별시 구로구 디지털로 26,02-2615-2320,37.48,126.89
육류 도매업,토실배기(주),문익관,110111-2858516,117-81-47132,서울특별시 양천구 목동 771,02-2652-5151,37.53,126.87
육류 도매업,(주)트리플케이미트,박태호,110111-6595825,671-88-01003,서울특별시 강동구 천호대로 1089,02)476-3487,37.54,127.13
육류 도매업,(주)티엠케이,김범수,110111-1591521,206-81-13403,경기도 하남시 감북동 412,02-475-9256,37.52,127.15
육류 도매업,(주)팬텀트레이딩,김재영,110111-5268556,120-88-05840,경기도 성남시 분당구 정자일로 158 제5,031-717-0597,37.36,127.11
육류 도매업,(주)퍼니베스트,김인곤,110111-2284612,214-86-86329,서울특별시 성동구 옥수동 218,02-2297-9696,37.54,127.01
육류 도매업,주식회사 푸디버스 정보 더보기,강원호 외 1명 정보 더보기,110111-4833524,206-86-64135,서울특별시 성동구 고산자로 300,02-2299-8911,37.57,127.04
