Company category,Company name,CEO,Corporate registration number,Business registration number,Address,Contact point,Latitude,Longitude
"신선, 냉동 및 기타 수산물 도매업",주식회사 월드수산,임은희,144711-0027707,432-87-00964,강원도 속초시 동해대로 4170,335223210,38.19,128.58
"신선, 냉동 및 기타 수산물 도매업",윈윈수산식품 주식회사,정두영,110111-2709412,214-87-28229,서울특별시 서초구 논현로 83 A-1111,02-476-8801,37.48,127.04
"신선, 냉동 및 기타 수산물 도매업",(주) 유영글로벌 정보 더보기,김영인,180111-1128958,375-87-00813,서울특별시 서초구 반포대로 4,02-563-1007,37.48,127.01
"신선, 냉동 및 기타 수산물 도매업",주식회사 이앤케이,송연실,180111-1024867,816-81-00442,부산광역시 서구 원양로 35 도매장동,051-220-8222,35.06,129.01
"신선, 냉동 및 기타 수산물 도매업",이엘물산(주),이원호,180111-1061596,526-81-00516,부산광역시 서구 원양로 125,051)717-0120,35.06,129.01
"신선, 냉동 및 기타 수산물 도매업",(주)장가유통,장해연,180111-0591164,603-81-65193,부산광역시 사하구 을숙도대로 748,051-253-1556,35.09,128.99
"신선, 냉동 및 기타 수산물 도매업",(주)재우통상,지형곤,180111-1245158,176-81-01552,부산광역시 사하구 괴정로 40,051-463-9743,35.1,128.97
"신선, 냉동 및 기타 수산물 도매업",주식회사 제이와이제이,김영인,180111-0890269,606-86-51499,부산광역시 강서구 녹산산단382,051-317-0500,35.09,128.85
"신선, 냉동 및 기타 수산물 도매업",제주광어주식회사,한용옥,220111-0073684,616-81-75436,제주특별자치도 서귀포시 표선면 표선당포로 7,647879696,33.33,126.84
"신선, 냉동 및 기타 수산물 도매업",주식회사 진보종합상사,"이정우, 박수성",180111-0668880,607-81-89106,부산광역시 동래구 온천천로 561,051-759-5884,35.19,129.11
"신선, 냉동 및 기타 수산물 도매업",주식회사청해수산,박선봉,120111-0640971,121-86-22299,인천광역시 중구 축항대로 86,032-884-0495,37.45,126.61
"신선, 냉동 및 기타 수산물 도매업",케이와이푸드넷(주),안민주,110111-0603301,215-81-00125,경기도 성남시 중원구 사기막골로 121,031-746-3852,37.44,127.18
"신선, 냉동 및 기타 수산물 도매업",(주)코루스인터내셔날,하인규,180111-1294296,629-88-01787,부산광역시 중구 광복로 97,051-255-1670,35.1,129.03
"신선, 냉동 및 기타 수산물 도매업",주식회사 티와이월드,이상조,180111-0725086,603-81-75390,부산광역시 사하구 감천항로 24,517126304,35.09,129
"신선, 냉동 및 기타 수산물 도매업",유한회사 퍼시픽코스트 정보 더보기,김춘화,180114-0031510,450-86-02546,"부산광역시 해운대구 좌동로 29 ,",517170577,35.17,129.17
"신선, 냉동 및 기타 수산물 도매업",(주)푸드야식품,장준호,121111-0146548,130-86-22124,경기도 용인시 처인구 모현읍 포은대로 896 푸드야식품,313338140,37.33,127.15
"신선, 냉동 및 기타 수산물 도매업",주식회사 하이푸드,하남주,210111-0109530,598-81-00184,전북특별자치도 전주시 덕진구 완주로 47,063-271-0603,35.87,127.15
"신선, 냉동 및 기타 수산물 도매업",한라에스앤에프 주식회사,이병철,220111-0046970,616-81-47134,제주특별자치도 제주시 원남6,064-721-6441,33.5,126.53
"신선, 냉동 및 기타 수산물 도매업",주식회사 한창마린,최승환,110111-6244795,692-87-00606,부산광역시 해운대구 센텀3,033-636-2532,35.18,129.12
"신선, 냉동 및 기타 수산물 도매업",(주)해금수산,김현중,230111-0295111,694-88-00991,부산광역시 서구 원양로 35,051-245-4715,35.06,129.01
"신선, 냉동 및 기타 수산물 도매업",주식회사 해문인터네셔널,김성,120111-0708050,121-86-33608,인천광역시 중구 서해대로 94,010-7615-2235,37.45,126.62
"신선, 냉동 및 기타 수산물 도매업",해성트레이딩 주식회사,신민성,110111-7644887,660-88-01885,서울특별시 강동구 양재대로 1393,02)408-2432,37.53,127.14
"신선, 냉동 및 기타 수산물 도매업",주식회사 해원종합상사,강병우,180111-0927111,603-81-88430,부산광역시 서구 원양로 67,552418020,35.06,129.01
"신선, 냉동 및 기타 수산물 도매업",행복한광어영어조합법인,오기수,224171-0005653,616-81-70576,제주특별자치도 서귀포시 표선면 민속해안로 105,647871877,33.31,126.81
"신선, 냉동 및 기타 수산물 도매업",호아글로벌 주식회사,박학용,284211-0103524,701-86-02110,경기도 구리시 동구릉로 136,031-554-3150,37.62,127.14
기타 신선식품 및 단순 가공식품 도매업,주식회사 골드스타,이인철,144711-0030792,855-88-01561,강원도 동해시 공단6,070-4438-3697,37.49,129.11
기타 신선식품 및 단순 가공식품 도매업,농업회사법인 (주) 광성유통,"장덕미, 최관열",135511-0216363,140-81-46813,경기도 시흥시 찬우물2,031-313-0431,37.35,126.74
기타 신선식품 및 단순 가공식품 도매업,농업회사법인주식회사영림유통,이한열,110111-4734805,119-86-49257,경기도 안양시 만안구 삼막로 24,031-472-6888,37.42,126.91
기타 신선식품 및 단순 가공식품 도매업,농업회사법인 (주)한스팜,한만응,131211-0046075,428-81-00702,경기도 여주시 삼교3,031-8087-7896,37.23,127.66
기타 신선식품 및 단순 가공식품 도매업,다봄푸드 주식회사,신재민,284111-0276018,383-81-02561,경기도 광주시 장지9,031-762-3053,37.48,127.13
기타 신선식품 및 단순 가공식품 도매업,주식회사심인유통,"김쌍섭, 최영준",131111-0362358,408-86-07763,광주광역시 북구 하서로 322,062-576-9990,35.22,126.89
기타 신선식품 및 단순 가공식품 도매업,심플로트사우스,메건벨크스완,110114-0266658,457-87-01910,서울특별시 강남구 남부순환로 2645,02-561-4787,37.49,127.04
기타 신선식품 및 단순 가공식품 도매업,(주) 중흥통상,최진섭,180111-1137511,352-81-01063,부산광역시 영도구 해양로 33,051-460-7210,35.1,129.06
기타 신선식품 및 단순 가공식품 도매업,푸드팡 주식회사,공경율,180111-1064441,480-88-00669,부산광역시 금정구 공단로 60 B동 전층,070-7728-2872,35.22,129.11
기타 신선식품 및 단순 가공식품 도매업,(주)피시원,서규열,135511-0174040,140-81-17832,경기도 시흥시 수인로 3108,313140010,37.41,126.83
